"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"TQFP-100_14x14mm_Pitch0.5mm";1;"STM32F407VGTx";;;
2;"G***";"atari_800_XL_BW_25x25";1;"LOGO";;;
3;"KICAD";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad-Logo2_6mm_SilkScreen";;;
4;"GPL";"Symbol_GNU-GPL_SilkScreen_Small";1;"Symbol_GNU-GPL_CopperTop_Small";;;
5;"ATARI800XL";"ABEX_Logo_22mmx11mm_WB";1;"LOGO";;;
6;"DUOCART";"DUOCart_20x11_Rev";1;"LOGO";;;
7;"R24,R3";"R_1206_HandSoldering";2;"1.5K";;;
8;"R2,R32,R31,R4,R5,R7";"R_1206_HandSoldering";6;"4.7K";;;
9;"J1";"microSD_HC_Hirose_DM3D-SF";1;"Micro_SD_Card_Det";;;
10;"D5,D1";"LED_1206";2;"LED.GREEN";;;
11;"C1,C31,C30,C27,C26,C25,C24,C23,C22,C21";"C_1206_HandSoldering";10;"100n";;;
12;"P1";"BUS_PCIexpress_64pin";1;"0877159106";;;
13;"XT2";"Crystal_HC49-4H_Vertical_3D";1;"8Mhz";;;
14;"SW2";"SW_SPST_FSMSM_3D";1;"SW_Push";;;
15;"R30,R18,R1";"R_1206_HandSoldering";3;"0";;;
16;"R29,R27";"R_1206_HandSoldering";2;"510";;;
17;"R28,R26,R21,R20";"R_1206_HandSoldering";4;"10K";;;
18;"R19";"R_1206_HandSoldering";1;"220";;;
19;"R6";"R_1206_HandSoldering";1;"100K";;;
20;"P5,P4,P3,P2";"MountingHole";4;"CONN_01X01";;;
21;"JP2";"Pin_Header_Angled_1x04";1;"CONN_01X04";;;
22;"JP1,BOOT1_MEM1,BOOT0_MEM1";"Pin_Header_Straight_1x02";3;"CONN_01X02";;;
23;"FT232RPi.1";"Pin_Header_Straight_1x03";1;"CONN_01X03";;;
24;"C34,C33";"C_1206_HandSoldering";2;"2.2u";;;
25;"C32";"C_1206_HandSoldering";1;"1u";;;
26;"C20,C19";"C_1206_HandSoldering";2;"20p";;;
